area-System.Net,area-Infrastructure,area-System.Security,area-System.IO,area-System.Runtime,area-System.Xml,area-System.Threading,area-System.Reflection,area-System.Memory,area-System.Diagnostics,area-Serialization,area-System.Drawing,area-Meta,area-System.Data,area-Microsoft.CSharp,area-System.Numerics,area-System.Text,area-System.Globalization,area-System.ComponentModel,area-System.Collections,area-System.Console,area-System.Linq
79,2,2,0,0,0,1,0,1,2,0,0,1,5,0,0,0,1,0,0,0,0
22,0:5,1:26,3:4,4:1,8:2,13:2
22,0:3,2:4,8:1,9:1,13:5
22,0:10,1:4,3:9,6:1,8:1,9:2,13:3,16:1
5,0,1,1,3,0,2,0,2,2,0,0,1,3,0,0,0,0,0,2,0,0
22,0:3,13:2
22,0:2,12:1,19:1
22,0:2,2:1,6:1,13:1
22,0:1,1:1,3:1,4:2,8:18,12:1,13:2
22,0:4,9:1,13:2
22,1:1,10:6,13:2,14:1
22,0:1,9:1,13:2
22,3:1,8:1,9:1,12:1
22,0:7,1:1,3:2,4:1,13:7,16:1
22,0:2
22,13:1
22,0:3,3:2,4:1
22,4:1,11:1,17:2
22,0:2,4:2,9:1,13:4,18:1
22,0:2,3:1,13:2,14:1
22,0:3
22,0:1,1:1
