area-System.Net,area-Infrastructure,area-System.Security,area-System.IO,area-System.Runtime,area-System.Xml,area-System.Threading,area-System.Reflection,area-System.Memory,area-System.Diagnostics,area-Serialization,area-System.Drawing,area-Meta,area-System.Data,area-Microsoft.CSharp,area-System.Numerics,area-System.Text,area-System.Globalization,area-System.ComponentModel,area-System.Collections,area-System.Console,area-System.Linq
73,2,1,0,0,0,1,0,5,7,0,0,2,2,0,0,0,1,0,0,0,0
22,0:2,1:27,3:3,8:5,9:1,13:2
22,0:2,2:6,4:1,8:1,9:1,13:3
7,3,2,10,0,0,1,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0
1,0,3,1,3,0,1,0,7,3,1,0,1,0,0,0,0,1,0,0,0,0
22,0:2,3:1,13:2
22,3:1,8:1,12:1,19:1
22,2:1,4:1,6:1,8:2
22,1:1,4:1,8:23,12:1
22,0:3,9:3,13:1
22,1:1,10:7,12:1,14:1
22,4:1,8:1,9:1,13:1
22,3:1,8:2,9:1
22,0:7,1:1,3:2,8:4,13:4,16:1
22,0:2
22,8:1
22,0:1,4:1,8:3,16:1
22,9:1,11:1,17:2
22,4:1,8:2,9:3,13:2,18:2
22,0:1,2:1,3:2,13:1,14:1
22,0:3
22,1:1,8:1
