area-System.Net,area-Infrastructure,area-System.Security,area-System.IO,area-System.Runtime,area-System.Xml,area-System.Threading,area-System.Reflection,area-System.Memory,area-System.Diagnostics,area-Serialization,area-System.Drawing,area-Meta,area-System.Data,area-Microsoft.CSharp,area-System.Numerics,area-System.Text,area-System.Globalization,area-System.ComponentModel,area-System.Collections,area-System.Console,area-System.Linq
22,0:88,1:4,9:2
22,0:9,1:26,3:4,8:1
22,0:8,2:3,3:1,8:1,9:1
22,0:16,1:4,3:8,9:3
22,0:9,1:4,2:2,3:5,8:1,9:1
22,0:5
22,0:1,3:2,19:1
22,0:2,3:1,6:1,13:1
22,0:2,1:1,3:2,4:2,8:19
22,0:5,9:1,13:1
22,0:2,1:1,3:2,10:5
22,0:2,3:1,9:1
22,0:1,1:1,8:1,9:1
22,0:14,1:2,3:2,8:1
22,0:2
22,0:1
22,0:4,3:2
22,0:1,3:2,17:1
22,0:6,3:1,8:1,9:1,13:1
22,0:5,14:1
22,0:3
22,0:1,1:1
