area-System.Net,area-Infrastructure,area-System.Security,area-System.IO,area-System.Runtime,area-System.Xml,area-System.Threading,area-System.Reflection,area-System.Memory,area-System.Diagnostics,area-Serialization,area-System.Drawing,area-Meta,area-System.Data,area-Microsoft.CSharp,area-System.Numerics,area-System.Text,area-System.Globalization,area-System.ComponentModel,area-System.Collections,area-System.Console,area-System.Linq
22,0:87,1:2,3:4,11:1
22,0:3,1:29,3:6,4:1,13:1
22,0:8,1:1,2:1,3:2,13:2
22,0:6,1:1,3:21,4:1,8:2
22,0:8,1:1,3:8,4:4,8:1
22,0:4,13:1
22,0:1,3:2,4:1
22,0:1,3:2,7:2
22,0:2,1:1,3:2,8:21
22,0:4,3:2,13:1
22,0:1,1:2,4:1,10:6
22,0:2,3:1,11:1
22,0:1,3:3
22,0:12,1:2,3:2,4:1,13:2
22,0:2
22,0:1
22,0:4,3:1,16:1
22,0:1,17:3
22,0:5,3:1,4:1,8:1,13:2
22,0:3,1:1,4:1,14:1
22,0:2,3:1
22,0:1,3:1
